account_id,competitive_rank,leaderboard_rank,mmr_estimate,rank_tier,solo_competitive_rank,tracked_until
867145984,None,None,{'estimate': 4429},73,None,None
369576335,4049,867,{'estimate': 4884},80,4790,None
409855587,None,2668,{'estimate': 4275},80,None,None
247065012,None,None,{'estimate': 3634},80,None,None
314566105,None,None,{'estimate': 4079},80,None,None
1113841513,None,501,{'estimate': 5022},80,None,None
151719715,5238,289,{'estimate': 5044},80,5546,None
392277500,None,247,{'estimate': 5021},80,3500,None
358831217,3540,269,{'estimate': 5015},80,3584,None
122459461,None,217,{'estimate': 5021},80,None,None
1005626260,None,4466,{'estimate': 2761},80,None,None
913081877,None,None,{'estimate': 2721},43,None,None
948659765,None,2960,{'estimate': 2775},80,None,None
1144771878,None,None,{'estimate': 2692},None,None,None
241467447,None,None,{'estimate': 2745},80,None,None
80599925,3265,None,{'estimate': 3151},80,3248,None
1045494300,None,None,{'estimate': 3151},75,None,None
301477244,4284,4941,{'estimate': 3151},80,None,None
181339278,None,None,{'estimate': 3151},75,None,None
1103355581,None,None,{'estimate': 3151},71,None,None
110759067,6149,243,{'estimate': 6202},80,7243,None
218367241,3691,65,{'estimate': 6202},80,4700,None
145331311,None,91,{'estimate': 6202},80,5279,None
136737280,5313,98,{'estimate': 6202},80,6775,None
169756712,4572,238,{'estimate': 6265},80,7172,None
101460882,None,74,{'estimate': 6649},80,None,None
118233883,None,1,{'estimate': 7125},80,9055,None
181716137,6222,4,{'estimate': 7477},80,9340,None
152859296,5364,24,{'estimate': 7055},80,7309,None
91369376,5038,158,{'estimate': 6769},80,7673,None
1202292236,None,None,{'estimate': 3787},None,None,None
1050127319,None,None,{'estimate': 3824},75,None,None
1266748819,None,None,{'estimate': 4115},None,None,None
1238656049,None,None,{'estimate': 4021},None,None,None
881959275,None,None,{'estimate': 4247},72,None,None
173906452,1038,1623,{'estimate': 4611},80,3774,None
1281314848,None,None,{'estimate': 4762},None,None,None
113923026,3967,None,{'estimate': 4511},73,4587,None
130433320,None,1476,{'estimate': 4771},80,6185,1653951885
174924847,4372,3171,{'estimate': 4874},80,5400,None
1216609165,None,None,{'estimate': 2761},None,None,None
1122407405,None,None,{'estimate': 2803},80,None,None
1083977859,None,None,{'estimate': 2871},None,None,None
1220632105,None,None,{'estimate': 2784},None,None,None
1119908658,None,None,{'estimate': 2803},80,None,None
1133046148,None,None,{'estimate': 2782},62,None,None
76082922,None,None,{'estimate': 2767},45,None,None
1173255449,None,4025,{'estimate': 2863},80,None,None
1194935883,None,None,{'estimate': 2871},None,None,None
230308002,None,None,{'estimate': 2760},80,None,None
101460882,None,74,{'estimate': 6649},80,None,None
99573176,5427,221,{'estimate': 6090},80,6044,None
104758571,5880,60,{'estimate': 6145},80,6275,None
184138153,5681,75,{'estimate': 6146},80,5862,None
101325470,6843,113,{'estimate': 6312},80,7189,None
877696078,None,95,{'estimate': 5871},80,None,None
318371533,4864,119,{'estimate': 6295},80,6786,None
318286721,4427,102,{'estimate': 6140},80,6214,None
104504914,None,282,{'estimate': 6296},80,None,None
1125296112,None,None,{'estimate': 6296},None,None,None
886742476,None,2072,{'estimate': 5671},80,None,None
861222921,None,None,{'estimate': 5671},72,None,None
425883369,None,452,{'estimate': 5476},80,None,None
302999330,4794,123,{'estimate': 5671},80,5534,None
285319482,None,None,{'estimate': 5671},None,None,None
190738832,5332,76,{'estimate': 5612},80,6253,None
248388120,5172,63,{'estimate': 5599},80,5257,None
155447692,4050,145,{'estimate': 5496},80,3972,None
385295772,None,181,{'estimate': 5608},80,6305,None
162126721,None,57,{'estimate': 5521},80,4831,None
1262266956,None,None,{'estimate': 3698},None,None,None
1280585455,None,None,{'estimate': 3867},None,None,None
1284323241,None,None,{'estimate': 3735},None,None,None
299806942,None,3260,{'estimate': 3991},80,4252,1653859550
1248664606,None,None,{'estimate': 3868},None,None,None
1050127319,None,None,{'estimate': 3824},75,None,None
1202292236,None,None,{'estimate': 3787},None,None,None
1266748819,None,None,{'estimate': 4115},None,None,None
1238656049,None,None,{'estimate': 4021},None,None,None
881959275,None,None,{'estimate': 4247},72,None,None
412910858,None,None,{'estimate': 3276},80,None,None
1090568489,None,4979,{'estimate': 2702},80,None,None
1068676453,None,4847,{'estimate': 2678},80,None,None
176158708,None,None,{'estimate': 2656},None,None,None
376005174,None,None,{'estimate': 2661},80,None,None
992327405,None,None,{'estimate': 2190},None,None,None
1232094007,None,None,{'estimate': 2190},None,None,None
202984325,None,None,{'estimate': 2190},54,2072,None
162724090,None,None,{'estimate': 2190},64,None,None
1170923497,None,2440,{'estimate': 2190},80,None,None
293904640,5216,95,{'estimate': 6307},80,7177,None
931145002,None,64,{'estimate': 5966},80,None,None
322925642,6245,156,{'estimate': 6067},80,6301,None
126842529,None,22,{'estimate': 6250},80,None,1652786229
146076829,2893,265,{'estimate': 6048},80,5854,None
136624722,None,1172,{'estimate': 6292},80,6366,None
130503714,None,98,{'estimate': 6153},80,7050,None
906563731,None,194,{'estimate': 6160},80,None,None
369751488,5451,158,{'estimate': 5665},80,3500,None
230617400,6029,91,{'estimate': 6269},80,8019,None
128367019,5486,109,{'estimate': 6480},80,7186,None
173480523,6520,106,{'estimate': 6237},80,6367,None
331999484,5166,61,{'estimate': 6634},80,8576,None
343797829,4606,113,{'estimate': 6556},80,5739,None
122255316,5369,249,{'estimate': 6578},80,7418,None
101460882,None,74,{'estimate': 6649},80,None,None
104758571,5880,60,{'estimate': 6145},80,6275,None
99573176,5427,221,{'estimate': 6090},80,6044,None
184138153,5681,75,{'estimate': 6146},80,5862,None
101325470,6843,113,{'estimate': 6312},80,7189,None
320207650,None,224,{'estimate': 4785},80,4087,None
128609706,3635,1624,{'estimate': 4785},80,5008,None
220219886,5123,246,{'estimate': 4989},80,4506,None
838668728,None,None,{'estimate': 3982},75,None,None
181788172,3015,None,{'estimate': 4156},75,3719,None
175526502,5203,None,{'estimate': 5161},74,4517,None
89239530,4978,1523,{'estimate': 5154},80,5063,None
102123589,4956,1128,{'estimate': 5203},80,5831,None
122913901,5398,None,{'estimate': 5051},80,5473,None
198511439,5001,1608,{'estimate': 5168},80,5729,None
212116230,3674,2338,{'estimate': 4320},80,4196,None
124067565,3486,1929,{'estimate': 4424},80,4849,None
380264792,None,4780,{'estimate': 4082},71,4463,None
179954876,None,None,{'estimate': 3789},74,None,None
299448080,2085,None,{'estimate': 3463},71,2007,None
219006194,3919,None,{'estimate': 3894},74,4018,None
178002197,4621,1909,{'estimate': 4304},80,5151,None
280262730,None,1184,{'estimate': 4473},80,4706,None
127533364,None,None,{'estimate': 4319},74,4747,None
425928431,None,4040,{'estimate': 4279},75,None,None
248388120,5172,63,{'estimate': 5599},80,5257,None
162126721,None,57,{'estimate': 5521},80,4831,None
155447692,4050,145,{'estimate': 5496},80,3972,None
385295772,None,181,{'estimate': 5608},80,6305,None
190738832,5332,76,{'estimate': 5612},80,6253,None
162077924,5080,397,{'estimate': 5936},80,6243,None
149410038,None,None,{'estimate': 6016},None,None,None
146757995,None,None,{'estimate': 5623},None,None,None
1018920137,None,99,{'estimate': 6067},80,None,None
176047313,4835,430,{'estimate': 5249},80,6196,None
483850689,None,None,{'estimate': 3256},None,None,None
1146548664,None,None,{'estimate': 3234},None,None,None
1096978451,None,None,{'estimate': 3101},None,None,None
131271150,None,None,{'estimate': 3227},64,None,None
366332869,3404,2088,{'estimate': 3013},80,2588,None
228392819,3563,4877,{'estimate': 3814},80,3693,1652968755
299806942,None,3260,{'estimate': 3991},80,4252,1653859550
1284323241,None,None,{'estimate': 3735},None,None,None
1280585455,None,None,{'estimate': 3867},None,None,None
1262266956,None,None,{'estimate': 3698},None,None,None
116837520,4923,72,{'estimate': 5564},80,5258,None
394109848,None,131,{'estimate': 5218},80,None,None
129886722,5209,927,{'estimate': 5211},80,5908,None
134659079,5273,175,{'estimate': 5119},80,None,None
130040732,4365,213,{'estimate': 6179},80,6926,None
